;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
165;10884059;12378072;12419128;12614396;14725851;15970381;17129186;17549462;18284339;19058792;20045475;21525988;21596764;23853172;25196509;25446349;26996601;27755492
166;10725188;11170809;11988605;12725759;14741645;15652305;16162856;17337346;18267339;19240659;20061126;21471389;21438078;23362496;24567402;26245974;26928076;27924453
167;10913323;11742236;12529451;14625218;15306654;15665880;17069482;17331218;18280656;19271930;19642889;21436535;22250647;22962061;24368777;25900470;26522619;29177494
168;10748429;11180431;12200747;14642468;14574427;15907318;16140278;17928444;17804479;18344175;20304726;20194512;23086162;22275482;24646662;25680993;26160264;27655932
169;10918638;11345973;12413597;13679279;15204072;15924938;16237382;17485785;18605868;19628700;21209937;21309680;21421730;23312636;25432285;26687225;27069053;27885501
170;10666553;11163039;12372291;12876702;15023577;15647525;16361059;17690262;18249586;19339906;20660418;21311759;22420038;24056273;24882214;25499146;26865423;28652414
171;10774992;11697933;12417679;14684855;15091227;15965999;16981864;17118409;17950764;18072280;20335485;21493136;22922369;23453790;24513152;25497296;26099619;28426802
172;11000199;11163375;11825678;12853369;15006672;16246866;16168674;17112742;18396063;19306061;20034615;22024505;22357846;24064332;24898851;25734519;27513806;28542396
173;10944562;11467902;12136067;12814580;15563325;15997017;16934234;17892386;18506392;19964791;20426883;21220170;22131236;24260163;24848466;25273917;26761904;28321945
174;11097974;11723264;12165477;12880848;15327720;15802598;16446032;17392464;17977024;19446641;20497902;21497490;22532832;23796543;24778251;25352319;25344118;28039797
175;10785252;11506948;12920320;14625459;15194885;16055310;16677953;17088375;18417365;19850450;20377346;21279622;23106117;24018372;25375957;25298009;26585457;28844645
176;10808139;11315986;12488812;12729492;15528082;15852382;16919970;17306771;17428266;19553452;19925871;21439388;22624857;23131612;25422460;25105832;25452579;28756144
177;10853725;11595377;12450947;12860777;15003180;15772915;16303319;17537647;18948009;19159691;20171288;21493046;22989966;23416451;24365486;26529489;27614896;28453905
178;10988034;11709486;12060800;12599278;15315531;15607991;16462737;17715358;18528855;19063979;20503110;21906615;22870208;23587693;24583254;25462095;26808450;27702811
179;10943717;11353038;12731094;12781725;14751552;15753241;17053149;17986612;18602410;19283551;18691703;21849562;22792301;23739977;24796219;25339705;26378742;28587695
180;10729350;11689307;12356445;12595206;15246452;16192380;16707801;17525983;18829969;19816637;20302951;21134014;21705394;24090819;24361661;25596880;26497988;28239544
181;10753975;11297824;11906227;12631562;15050549;15708203;16996717;17991812;18206186;19515916;20035884;20709178;22541443;23365237;23543193;25874162;26827809;29075575
182;11058476;11373134;12012124;12615645;15257135;16111898;16879842;17353296;19086201;19580877;20460157;20937396;22396427;23977168;24327754;26177932;26549164;27696604
183;11034862;11680506;11930129;12742674;15162913;15716157;16098571;17540281;18815263;19706549;20157743;21376542;21835249;23163412;25227004;25970444;27167400;29063521
